url,season,week,team,opponent,home_flg,favorite_flg,winner_flg,line,over_under,off_pts,def_pts_allowed,team_first_downs,opp_first_downs,team_rush_att,opp_rush_att,team_rush_yds,opp_rush_yds,team_rush_tds,opp_rush_tds,team_pass_comp,opp_pass_comp,team_pass_att,opp_pass_att,team_pass_yds,opp_pass_yds,team_pass_tds,opp_pass_tds,team_pass_int,opp_pass_int,team_sacks,opp_sacks,team_penalty_yds,opp_penalty_yds,team_net_pass_yds,opp_net_pass_yds,team_total_yds,opp_total_yds,team_fumbles,opp_fumbles,team_fumbles_lost,opp_fumbles_lost,team_turnovers,opp_turnovers,team_penalties,opp_penalties,team_third_down_conv,opp_third_down_conv,team_fourth_down_conv,opp_fourth_down_conv,team_time_of_poss,opp_time_of_poss,team_rush_le,opp_rush_le,team_rush_yds_le,opp_rush_yds_le,team_rush_td_le,opp_rush_td_le,team_rush_lt,opp_rush_lt,team_rush_yds_lt,opp_rush_yds_lt,team_rush_td_lt,opp_rush_td_lt,team_rush_lg,opp_rush_lg,team_rush_yds_lg,opp_rush_yds_lg,team_rush_td_lg,opp_rush_td_lg,team_rush_md,opp_rush_md,team_rush_yds_md,opp_rush_yds_md,team_rush_td_md,opp_rush_td_md,team_rush_rg,opp_rush_rg,team_rush_yds_rg,opp_rush_yds_rg,team_rush_td_rg,opp_rush_td_rg,team_rush_rt,opp_rush_rt,team_rush_yds_rt,opp_rush_yds_rt,team_rush_td_rt,opp_rush_td_rt,team_rush_re,opp_rush_re,team_rush_yds_re,opp_rush_yds_re,team_rush_td_re,opp_rush_td_re
/boxscores/201709140cin.htm,2017,2,Houston Texans,Cincinnati Bengals,False,False,True,-5.0,38.0,13,9,14,12,35,24,168,82,1,0,15,20,24,35,125,224,0,0,0,0,3,3,61,45,98,213,266,295,0,1,0,1,0,1,9,7,4-15,4-15,0-0,1-2,32:15,27:45,3,8,1,25,0,0,9,0,38,0,0,0,6,4,21,15,0,0,7,3,64,2,1,0,3,4,10,17,0,0,2,5,9,23,0,0,2,0,11,0,0,0
/boxscores/201709140cin.htm,2017,2,Cincinnati Bengals,Houston Texans,True,True,False,5.0,38.0,9,13,12,14,24,35,82,168,0,1,20,15,35,24,224,125,0,0,0,0,3,3,45,61,213,98,295,266,1,0,1,0,1,0,7,9,4-15,4-15,1-2,0-0,27:45,32:15,8,3,25,1,0,0,0,9,0,38,0,0,4,6,15,21,0,0,3,7,2,64,0,1,4,3,17,10,0,0,5,2,23,9,0,0,0,2,0,11,0,0
/boxscores/201709170tam.htm,2017,2,Tampa Bay Buccaneers,Chicago Bears,True,True,True,7.0,44.0,29,7,22,19,34,16,117,20,1,0,18,31,31,45,204,301,1,1,0,2,2,1,34,59,194,290,311,310,1,2,1,2,1,4,4,8,8-15,7-14,0-0,0-2,33:11,26:49,1,3,1,6,0,0,4,3,15,6,0,0,2,0,9,0,0,0,13,6,35,-1,1,0,0,0,0,0,0,0,7,1,30,9,0,0,3,3,27,0,0,0
/boxscores/201709170tam.htm,2017,2,Chicago Bears,Tampa Bay Buccaneers,False,False,False,-7.0,44.0,7,29,19,22,16,34,20,117,0,1,31,18,45,31,301,204,1,1,2,0,1,2,59,34,290,194,310,311,2,1,2,1,4,1,8,4,7-14,8-15,0-2,0-0,26:49,33:11,3,1,6,1,0,0,3,4,6,15,0,0,0,2,0,9,0,0,6,13,-1,35,0,1,0,0,0,0,0,0,1,7,9,30,0,0,3,3,0,27,0,0
/boxscores/201709170rav.htm,2017,2,Baltimore Ravens,Cleveland Browns,True,True,True,7.5,39.5,24,10,24,20,32,21,136,93,1,0,25,20,34,42,217,300,2,1,1,4,2,3,45,65,201,293,337,386,1,2,1,1,2,5,7,11,4-11,2-12,0-0,1-2,33:24,26:36,3,2,18,3,0,0,4,1,20,13,1,0,6,3,51,5,0,0,0,2,0,18,0,0,16,7,40,42,0,0,2,2,12,2,0,0,1,4,5,10,0,0
/boxscores/201709170rav.htm,2017,2,Cleveland Browns,Baltimore Ravens,False,False,False,-7.5,39.5,10,24,20,24,21,32,93,136,0,1,20,25,42,34,300,217,1,2,4,1,3,2,65,45,293,201,386,337,2,1,1,1,5,2,11,7,2-12,4-11,1-2,0-0,26:36,33:24,2,3,3,18,0,0,1,4,13,20,0,1,3,6,5,51,0,0,2,0,18,0,0,0,7,16,42,40,0,0,2,2,2,12,0,0,4,1,10,5,0,0
/boxscores/201709170jax.htm,2017,2,Tennessee Titans,Jacksonville Jaguars,False,True,True,1.0,42.0,37,16,21,20,36,25,179,99,3,1,15,20,27,34,215,223,1,1,1,2,1,2,70,99,211,211,390,310,0,2,0,1,1,3,7,10,6-13,6-13,0-0,0-0,30:46,29:14,7,7,38,33,0,0,0,0,0,0,0,0,3,0,18,0,0,0,15,16,67,63,2,1,1,0,7,0,0,0,0,0,0,0,0,0,6,2,27,3,1,0
/boxscores/201709170jax.htm,2017,2,Jacksonville Jaguars,Tennessee Titans,True,False,False,-1.0,42.0,16,37,20,21,25,36,99,179,1,3,20,15,34,27,223,215,1,1,2,1,2,1,99,70,211,211,310,390,2,0,1,0,3,1,10,7,6-13,6-13,0-0,0-0,29:14,30:46,7,7,33,38,0,0,0,0,0,0,0,0,0,3,0,18,0,0,16,15,63,67,1,2,0,1,0,7,0,0,0,0,0,0,0,0,2,6,3,27,0,1
/boxscores/201709170kan.htm,2017,2,Kansas City Chiefs,Philadelphia Eagles,True,True,True,4.0,46.5,27,20,16,27,19,17,112,107,2,0,21,25,28,46,251,333,1,2,0,1,4,6,40,30,232,299,344,406,0,3,0,1,0,2,5,4,5-12,8-15,0-0,0-0,29:11,30:49,4,2,16,19,0,0,1,2,1,9,0,0,1,0,6,0,0,0,9,7,72,19,2,0,0,0,0,0,0,0,1,0,2,0,0,0,3,5,15,49,0,0
/boxscores/201709170kan.htm,2017,2,Philadelphia Eagles,Kansas City Chiefs,False,False,False,-4.0,46.5,20,27,27,16,17,19,107,112,0,2,25,21,46,28,333,251,2,1,1,0,6,4,30,40,299,232,406,344,3,0,1,0,2,0,4,5,8-15,5-12,0-0,0-0,30:49,29:11,2,4,19,16,0,0,2,1,9,1,0,0,0,1,0,6,0,0,7,9,19,72,0,2,0,0,0,0,0,0,0,1,0,2,0,0,5,3,49,15,0,0
/boxscores/201709170clt.htm,2017,2,Arizona Cardinals,Indianapolis Colts,False,True,True,7.0,44.0,16,13,17,18,25,29,83,76,0,1,19,20,36,37,332,216,1,0,1,1,4,4,41,70,306,190,389,266,1,3,0,0,1,1,6,8,6-15,8-18,0-1,0-0,28:49,33:09,1,6,3,5,0,0,1,3,1,11,0,0,2,0,6,0,0,0,11,15,38,47,0,1,1,1,-2,-4,0,0,4,1,18,8,0,0,3,2,16,9,0,0
/boxscores/201709170clt.htm,2017,2,Indianapolis Colts,Arizona Cardinals,True,False,False,-7.0,44.0,13,16,18,17,29,25,76,83,1,0,20,19,37,36,216,332,0,1,1,1,4,4,70,41,190,306,266,389,3,1,0,0,1,1,8,6,8-18,6-15,0-0,0-1,33:09,28:49,6,1,5,3,0,0,3,1,11,1,0,0,0,2,0,6,0,0,15,11,47,38,1,0,1,1,-4,-2,0,0,1,4,8,18,0,0,2,3,9,16,0,0
/boxscores/201709170car.htm,2017,2,Carolina Panthers,Buffalo Bills,True,True,True,6.5,43.0,9,3,19,10,28,23,77,69,0,0,20,17,32,25,228,125,0,0,0,0,6,3,40,44,178,107,255,176,0,2,0,0,0,0,6,5,7-16,4-13,0-0,0-2,38:53,21:07,4,2,17,1,0,0,4,3,14,-9,0,0,2,2,1,3,0,0,6,5,11,9,0,0,4,3,11,12,0,0,4,3,9,9,0,0,3,4,15,31,0,0
/boxscores/201709170car.htm,2017,2,Buffalo Bills,Carolina Panthers,False,False,False,-6.5,43.0,3,9,10,19,23,28,69,77,0,0,17,20,25,32,125,228,0,0,0,0,3,6,44,40,107,178,176,255,2,0,0,0,0,0,5,6,4-13,7-16,0-2,0-0,21:07,38:53,2,4,1,17,0,0,3,4,-9,14,0,0,2,2,3,1,0,0,5,6,9,11,0,0,3,4,12,11,0,0,3,4,9,9,0,0,4,3,31,15,0,0
/boxscores/201709170nor.htm,2017,2,New England Patriots,New Orleans Saints,False,True,True,5.5,55.0,36,20,29,20,31,17,119,81,1,0,30,27,39,45,447,356,3,2,0,0,2,1,66,35,436,348,555,429,0,1,0,0,0,0,9,5,6-12,4-12,0-0,1-2,35:06,24:54,5,5,20,18,0,0,3,1,3,-1,0,0,8,1,34,4,1,0,2,1,9,28,0,0,3,5,12,26,0,0,2,2,12,4,0,0,4,2,25,2,0,0
