birthdate,combine_bench,combine_broad_jump,combine_cone,combine_shuttle,combine_vert,combine_year,draft_pick,forty_yd,height,height.1,player_link,player_name,position,weight
1984-01-06,22.0,111.0,7.38,4.53,30.0,2007.0,122.0,5.19,78.0,78.0,/players/F/FreeDo20.htm,Doug Free,OL,324.0
1982-03-16,,,,,,,,,,,/players/L/LiviNa20.htm,Nate Livings,OL,
1986-01-03,,,,,,,250.0,,,,/players/B/BernMa20.htm,Mackenzy Bernadeau,OL,
1990-12-12,29.0,0.0,0.0,0.0,0.0,2011.0,9.0,4.93,77.0,77.0,/players/S/SmitTy00.htm,Tyron Smith,OL,307.0
1980-04-21,0.0,105.0,7.11,4.2,30.0,2003.0,,5.01,74.0,74.0,/players/R/RomoTo00.htm,Tony Romo,QB,230.0
1984-01-06 00:00:00,22.0,111.0,7.38,4.53,30.0,2007.0,122.0,5.19,78.0,,/players/F/FreeDo20.htm,Doug Free,OL,324.0
1982-03-16 00:00:00,,,,,,,,,,,/players/L/LiviNa20.htm,Nate Livings,OL,
1986-01-03 00:00:00,,,,,,,250.0,,,,/players/B/BernMa20.htm,Mackenzy Bernadeau,OL,
1990-12-12 00:00:00,29.0,0.0,0.0,0.0,0.0,2011.0,9.0,4.93,77.0,,/players/S/SmitTy00.htm,Tyron Smith,OL,307.0
1980-04-21 00:00:00,0.0,105.0,7.11,4.2,30.0,2003.0,,5.01,74.0,,/players/R/RomoTo00.htm,Tony Romo,QB,230.0
1983-05-08 00:00:00,28.0,97.0,7.93,4.66,26.5,2006.0,51.0,5.47,79.0,,/players/C/CookRy20.htm,Ryan Cook,OL,328.0
1984-06-30 00:00:00,21.0,123.0,7.09,4.14,40.5,2006.0,,4.47,74.0,,/players/A/AustMi00.htm,Miles Austin,WR,215.0
1988-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0,2010.0,24.0,4.52,74.0,,/players/B/BryaDe01.htm,Dez Bryant,WR,225.0
1982-05-06 00:00:00,25.0,0.0,0.0,0.0,31.0,2003.0,69.0,4.65,78.0,,/players/W/WittJa00.htm,Jason Witten,TE,264.0
1988-02-12 00:00:00,21.0,124.0,7.28,4.18,34.5,2011.0,71.0,4.37,72.0,,/players/M/MurrDe00.htm,DeMarco Murray,RB,213.0
1987-06-11 00:00:00,20.0,112.0,6.84,4.27,33.5,2009.0,208.0,4.78,77.0,,/players/P/PhilJo00.htm,John Phillips,TE,251.0
1987-08-05 00:00:00,0.0,122.0,6.67,4.08,36.0,2009.0,,4.36,72.0,,/players/O/OgleKe00.htm,Kevin Ogletree,WR,196.0
1983-05-08 00:00:00,21.0,104.0,7.74,4.63,30.5,2006.0,180.0,4.82,72.0,,/players/V/VickLa00.htm,Lawrence Vickers,RB,245.0
1987-05-08 00:00:00,0.0,124.0,6.9,4.19,33.5,2008.0,22.0,4.44,70.0,,/players/J/JoneFe00.htm,Felix Jones,RB,207.0
1989-07-14 00:00:00,24.0,122.0,6.76,4.11,36.0,2012.0,186.0,4.43,76.0,,/players/H/HannJa00.htm,James Hanna,TE,252.0
1989-04-26 00:00:00,,,,,,,,,,,/players/B/BeasCo00.htm,Cole Beasley,WR,
1987-07-11 00:00:00,,,,,,,,,,,/players/C/CostPh00.htm,Phil Costa,OL,
1986-07-20 00:00:00,,,,,,,,,,,/players/P/ParnJe00.htm,Jermey Parnell,OL,
